Airway Assessment entries	Count	Percentage	Percentage included	Map to
Other: sedated needing airway assistance	1	1.71740363605263E-07		
No compromise, Other: sneezing, rhinorhea clear	1	1.71740363605263E-07		
No compromise, Other: pt on 1/8L NC while asleep	1	1.71740363605263E-07		
No compromise, Other: Pt reports productive cough with green sputum	1	1.71740363605263E-07		
Tracheal midline shift, Other: chest tube valve in place	1	1.71740363605263E-07		
Positional, Stridorous, Other: occasslional snoring while sleeping.	1	1.71740363605263E-07		
Other: piere robin sequence	1	1.71740363605263E-07		
No compromise, Other: oralpharyngeal airway d/c	1	1.71740363605263E-07		
No compromise, Other: stridor is improved significantly	1	1.71740363605263E-07		
No compromise, Other: has a trach...spare set at bedside	1	1.71740363605263E-07		
Other: extubated- labored breaths- prolonged expiratory phase	1	1.71740363605263E-07		
No compromise, Other: nasalpharyngeal sxn x2	1	1.71740363605263E-07		
No compromise, Other: patient self-extubation/ unplanned extubation	1	1.71740363605263E-07		
Positional, Other: stridulous when upset	1	1.71740363605263E-07		
No compromise, Positional, Other: stridulous when upset	1	1.71740363605263E-07		
Other: Upper airway tract congestion	1	1.71740363605263E-07		
No compromise, Other: congested wearing blow by oxygen. Monitoring airway	1	1.71740363605263E-07		
Vocal cord paralysis, Other: congested with O2sats within baseline/assessed by Dr Casta prior to D/C	1	1.71740363605263E-07		
Other: stridor that resolves with repositioning; audible obstruction when asleep	1	1.71740363605263E-07		
Other: ? sridor	1	1.71740363605263E-07		
Patent, Stridorous, Other: Pt extubated	1	1.71740363605263E-07		
No compromise, Other: reporting upper sternal chest pain for several days-seen in local ER, and by pediatrician. CXR locally showed no pneumothorax, no pneumonia	1	1.71740363605263E-07		
Other: junky cough good aeration no wheezing interstitial lung disease follicular bronchitis	1	1.71740363605263E-07		
Other: hoarse with irritability/crying	1	1.71740363605263E-07		
Stridorous, Tracheostomy, Other: very slight, increases with agitation	1	1.71740363605263E-07		
No compromise, Other: pt with hx immune def on gamunex c 12.5 infusion therapy / pt with current upper resp congestion/ occassional slightly congested cough with small amt yellow sputum/ afebrile/ breath sounds clear/	1	1.71740363605263E-07		
Other: Tracheolmalasia & Bronchomalasia	1	1.71740363605263E-07		
Tracheostomy, Other: lg leak around trach	1	1.71740363605263E-07		
No compromise, Other: coughing at night, reports intermittent sore throat	1	1.71740363605263E-07		
No compromise, Other: some sneezing with nasal congestion before procedure	1	1.71740363605263E-07		
Other: Patient requiring chin lift	1	1.71740363605263E-07		
Other: mild stridor, significantly improved	1	1.71740363605263E-07		
Patent, Other: repositiioned head changed o2 delivery, with improvement to sats. No cyanosis seen.	1	1.71740363605263E-07		
No compromise, Other: Mediastinal Mass	1	1.71740363605263E-07		
No compromise, Other: oxygen has been good	1	1.71740363605263E-07		
Endotracheal tube, Other: baseline 3.5 pedi bivona trach; spares at bedside	1	1.71740363605263E-07		
Other: persistent, deep cough -finishing po antibiotics tomorrow	1	1.71740363605263E-07		
No compromise, Other: hx asthma.  s/p sleep study last night	1	1.71740363605263E-07		
No compromise, Other: recent pneumonia per mother.	1	1.71740363605263E-07		
No compromise, Other: hx chronic smoker	1	1.71740363605263E-07		
Other: upper aiway conjestion persistent cough	1	1.71740363605263E-07		
Other: NO STRIDOR OR AIR MOVEMENT ABLE TO BE HEARD, AIRWAY COMPROMISE SUSPECTED 2ND TO CROUP	1	1.71740363605263E-07		
Other: pt with drooling foreign body in esophogus	1	1.71740363605263E-07		
No compromise, Other: new cough	1	1.71740363605263E-07		
Other: difficult for intubation	1	1.71740363605263E-07		
"No compromise, Other: per mom c/o some chest ""heaviness"" after school.  NP aware and to assess."	1	1.71740363605263E-07		
Positional, Other: shoulder roll supine	1	1.71740363605263E-07		
Tenuous, Other: medialstinal mass	1	1.71740363605263E-07		
No compromise, Other: mild hoarsness	1	1.71740363605263E-07		
Other: large medial stinal masss	1	1.71740363605263E-07		
Stridorous, Other: after racemic neb much improved,	1	1.71740363605263E-07		
Other: over sedated,nasal cannula head tilted	1	1.71740363605263E-07		
Other: laryngeal cleft,	1	1.71740363605263E-07		
Other: hx pulmonary stenosis, hx asthma	1	1.71740363605263E-07		
Other: continues with productive cough-but decreasing in frequecy per parents	1	1.71740363605263E-07		
Stridorous, Other: positional stridor, resolves with repositioning	1	1.71740363605263E-07		
Other: freq sinopulmonary infections	1	1.71740363605263E-07		
Other: OP airway out	1	1.71740363605263E-07		
Nasopharyngeal airway, Other: upper airway obstruction post extubation, NP tube placed by MD and CPAP started,  Pt improved after suction, soft collar, and repositioning	1	1.71740363605263E-07		
Other: Other: Grade 2 - Miller need for intubation	1	1.71740363605263E-07		
Other: airway congestion with cough	1	1.71740363605263E-07		
Other: PRIOR TO USE OBSTRUCTED AND DESAT TO 87%	1	1.71740363605263E-07		
Stridorous, Other: intermittent stridor, hx larygnomalacia	1	1.71740363605263E-07		
No compromise, Other: soft collar for comfort and support	1	1.71740363605263E-07		
Positional, Other: soft collar for comfort and obstruction	1	1.71740363605263E-07		
Other: lma in place	1	1.71740363605263E-07		
No compromise, Other: intermittent mild stridor but comfortable WOB	1	1.71740363605263E-07		
No compromise, Stridorous, Other: stridor after crying	1	1.71740363605263E-07		
No compromise, Other: inner cheeks swollen after 2nd egg sample. Allergy fellow to bedside to assess, benadryl given. will continue to monitor	1	1.71740363605263E-07		
Other: Stridor with fussiness/activity	1	1.71740363605263E-07		
No compromise, Other: trach in place	1	1.71740363605263E-07		
Patent, Other: barky cough, no obvious stridor	1	1.71740363605263E-07		
Other: intubated with uncuffed ETT	1	1.71740363605263E-07		
No compromise, Stridorous, Other: noisey upper airway	1	1.71740363605263E-07		
No compromise, Other: reports scratchy throat and post nasal drip	1	1.71740363605263E-07		
Positional, Other: obstructs imtermittently , requires change of postion to side	1	1.71740363605263E-07		
No compromise, Other: post op	1	1.71740363605263E-07		
Other: audible noisy breathing	1	1.71740363605263E-07		
Other: intermittent inspiratory stridor.	1	1.71740363605263E-07		
Other: moderate, severe tracheomalacia demonstrated in OR  via rigid bronchoscopy	1	1.71740363605263E-07		
Other: tachypnea and retractions/ nasal o2 applied	1	1.71740363605263E-07		
Oropharyngeal airway, Stridorous, Other: intermit. stridor when aggitated; stridorous at baseline	1	1.71740363605263E-07		
Other: improved cough and gag	1	1.71740363605263E-07		
Other: obstructive on arrival, anesthesia respositioning airway	1	1.71740363605263E-07		
No compromise, Stridorous, Other: per mom , stridor at baseline d/t tracheomalcia.	1	1.71740363605263E-07		
Stridorous, Other: Pt with hx of lyringial malasia. Stridor at baseline. Per parent woke to pt with barky cough and increased noisy breathing.	1	1.71740363605263E-07		
Edematous, Other: swollen s/p abscess drainage 4/15	1	1.71740363605263E-07		
No compromise, Nasopharyngeal airway, Other: no change	1	1.71740363605263E-07		
Other: tachypnea/labored breathing	1	1.71740363605263E-07		
No compromise, Other: obstructive while asleep	1	1.71740363605263E-07		
No compromise, Other: c/o feeling like something is in the way of breathing, though sounds clear on auscultation	1	1.71740363605263E-07		
Other: op airway placed	1	1.71740363605263E-07		
Other: increased resp rate and c/o pain in chest but drinking fluids and talking at ease	1	1.71740363605263E-07		
"Other: trachealmalgia    baseline ""squeaking"" while asleep"	1	1.71740363605263E-07		
Stridorous, Other: stridor only when crying	1	1.71740363605263E-07		
No compromise, Other: lungs clear history of asthma	1	1.71740363605263E-07		
No compromise, Other: Parents report fever x's 24 hours and blood tinged sputum from trach noted today.	1	1.71740363605263E-07		
Tracheostomy, Other: bivonna neonatal 3.0 uncuffed  23 hours on vent  Rate  16, peep 5, pressure support  10, total pip 15 to maintain O2 sats > 75   HME 1 hr per day	1	1.71740363605263E-07		
"Other: ""difficult intubation"""	1	1.71740363605263E-07		
No compromise, Other: cough, clear lungs per MD	1	1.71740363605263E-07		
Other: Some congestion and coughing post op noted. She had to be reaccessed preop and was crying so whether that is what precipitated her congestion post op is unknown. Mom has albuterol at home and if any issues over the weekend she will call.	1	1.71740363605263E-07		
Other: metestatic cancer to lungs	1	1.71740363605263E-07		
Stridorous, Other: baseline position dependent stridor	1	1.71740363605263E-07		
No compromise, Stridorous, Other: stridorous off BIPAP	1	1.71740363605263E-07		
No compromise, Other: required blowby overnight	1	1.71740363605263E-07		
Oropharyngeal airway, Other: laryngospasm	1	1.71740363605263E-07		
Stridorous, Other: intermittnent, no distress noted	1	1.71740363605263E-07		
Other: obstructive, positive pressure, sxn'd orally	1	1.71740363605263E-07		
Tracheostomy, Other: As above	1	1.71740363605263E-07		
Other: feels tight per patient	1	1.71740363605263E-07		
Patent, Other: Hx: tracheostomy	1	1.71740363605263E-07		
Stridorous, Other: mild UA stridor- mostly while asleep	1	1.71740363605263E-07		
No compromise, Other: reactive airway in control	1	1.71740363605263E-07		
Tracheal midline shift, Other: tumor growth to lungs	1	1.71740363605263E-07		
No compromise, Other: pt spit out oral airway.	1	1.71740363605263E-07		
No compromise, Other: intermittent stridor with cry, MD Miller aware	1	1.71740363605263E-07		
Other: no stridor noted asleep	1	1.71740363605263E-07		
No compromise, Other: asthma, exercise and stress induced, also related to cold weather, humidity	1	1.71740363605263E-07		
Edematous, Other: improved	1	1.71740363605263E-07		
Other: Breathing comfortably on own with 02 BB to keep sats greater than 93%	1	1.71740363605263E-07		
Stridorous, Other: inspiratory stridor 2/2 laryngeomalacia	1	1.71740363605263E-07		
No compromise, Other: Baseline O2 requirement	1	1.71740363605263E-07		
No compromise, Other: hx astham/l has been well on flovent / flonase/ breathing gets tight when not taking flovent/ has not needed albuterol	1	1.71740363605263E-07		
Other: trunk is non mobile	1	1.71740363605263E-07		
Endotracheal tube, Other: trach site with tegaderm dressing	1	1.71740363605263E-07		
Other: mild steridous	1	1.71740363605263E-07		
Other: striderous at times	1	1.71740363605263E-07		
Stridorous, Other: stridor baseline per mom	1	1.71740363605263E-07		
Other: tumor metastitis to lungs with incresed fluids. see MD orders	1	1.71740363605263E-07		
Positional, Other: snoring, resoles with jaw thrust or roll under shoulders	1	1.71740363605263E-07		
Other: micronathia; obstructive when supine	1	1.71740363605263E-07		
No compromise, Other: suction at bedside for mom to use to clear nasal passageway	1	1.71740363605263E-07		
No compromise, Other: noiseybreathing, upper airway, difficult to assess lower lung sounds with refferred noise	1	1.71740363605263E-07		
Other: CF - on continuous o2	1	1.71740363605263E-07		
No compromise, Other: repositioned in bed with roll to facilitate breathing.	1	1.71740363605263E-07		
Stridorous, Other: sridor has decreased	1	1.71740363605263E-07		
Other: difficulty taking deep breath	1	1.71740363605263E-07		
Other: unable to listen at this time per moms request, doesnt want pt to get agitated with any intervention	1	1.71740363605263E-07		
No compromise, Other: trach intact,	1	1.71740363605263E-07		
Other: vocal cords unable to close completely	1	1.71740363605263E-07		
Other: O2 at 1.5l	1	1.71740363605263E-07		
Other: mild stridor when upset or when mouth breathing	1	1.71740363605263E-07		
Other: aspiration of thin liquids	1	1.71740363605263E-07		
Other: pt with chronic lung diseasetrachiobronchial malasia/ reactive airway disease / hx chronic aspiration/	1	1.71740363605263E-07		
Unprotected, Other: intermittent gag reflex noted	1	1.71740363605263E-07		
No compromise, Other: nasal cannula 0.5L	1	1.71740363605263E-07		
Other: croupy cough/cry	1	1.71740363605263E-07		
Other: Desat 40s, CM @ bedside.	1	1.71740363605263E-07		
Other: jaw thrust.	1	1.71740363605263E-07		
Oropharyngeal airway, Other: obstructing intermittently, improved with positon change	1	1.71740363605263E-07		
Vocal cord paralysis, Other: Patient states getting better	1	1.71740363605263E-07		
Oropharyngeal airway, Other: breath holding	1	1.71740363605263E-07		
Stridorous, Other: very mild,  insp stridor	1	1.71740363605263E-07		
No compromise, Other: pt with hx frequent infections / with immune deficency on ivig infusioin therapy 10 gms every 3 weeks/ / no recent infections / has not needed rescue inhalers	1	1.71740363605263E-07		
Other: obstructive breathing pattern	1	1.71740363605263E-07		
No compromise, Other: horse d/t intubation yesterday	1	1.71740363605263E-07		
No compromise, Other: intermittent stridor with agitation/exertion	1	1.71740363605263E-07		
No compromise, Other: croupy cough. no stridor at rest	1	1.71740363605263E-07		
No compromise, Other: hoarse cough on inspiration	1	1.71740363605263E-07		
No compromise, Other: asthma has a cold was giving albuterol not given today lungs clear	1	1.71740363605263E-07		
Other: pt initially audibly stridorous, repositioned self- stridor resolved	1	1.71740363605263E-07		
No compromise, Other: pt with immune def  has been well no recent infections/ on ivig infusion therapy 10 gms every 3 weeks	1	1.71740363605263E-07		
Other: quiet respirations	1	1.71740363605263E-07		
Positional, Other: needs to sit upright	1	1.71740363605263E-07		
Other: 24 French nasal trumpet	1	1.71740363605263E-07		
No compromise, Other: slight inspiratory stridor when upset. No stridor at rest.	1	1.71740363605263E-07		
Other: stridorous cry	1	1.71740363605263E-07		
No compromise, Other: In room air , pt. tachypneic, CM aware.	1	1.71740363605263E-07		
Nasopharyngeal airway, Other: NP airways in place to help with obstructing	1	1.71740363605263E-07		
Other: complains of chest pain	1	1.71740363605263E-07		
Other: Obstructive snoring. Mild WOB	1	1.71740363605263E-07		
No compromise, Other: mild raspy cry	1	1.71740363605263E-07		
No compromise, Other: oral airway placed per Dr. Dearden	1	1.71740363605263E-07		
Other: deep, wet, productive cough with yellow sputum	1	1.71740363605263E-07		
Other: recurrent bronchiectasis	1	1.71740363605263E-07		
No compromise, Other: dry cough present. AAndrokites aware	1	1.71740363605263E-07		
Other: croupy cough with crying/upset. Mom in bed, holding patient who is difficult to console,d/t disorientation from Midaz/anesthesia.	1	1.71740363605263E-07		
Other: Tachypnea with mild-mod. retractions	1	1.71740363605263E-07		
No compromise, Other: pt with asthma doing well	1	1.71740363605263E-07		
No compromise, Other: pt with recent cough and fever dx flu/ given tmiflu, no fever for 2 dayskl/ breath sounds clear/ no wheezes or congestion/l	1	1.71740363605263E-07		
No compromise, Other: both nares blocked upon attempt to insert corpak ngt.5 french clear ngt passed downward in right nare.	1	1.71740363605263E-07		
No compromise, Other: woke spit airway out	1	1.71740363605263E-07		
Other: Mild stridor with activity/fussiness.	1	1.71740363605263E-07		
No compromise, Other: wears glasses	1	1.71740363605263E-07		
No compromise, Other: recent cold symptomsl/ now improved	1	1.71740363605263E-07		
Other: Inspiratory stridor with agitation.	1	1.71740363605263E-07		
No compromise, Other: pt with persistent dry cough/ had cxr >>? pneumonia / aspiration, neg xray/	1	1.71740363605263E-07		
Other: ? vocal cord paralysis, pt noted to have inaudible cry. NNP made aware, pt made NPO	1	1.71740363605263E-07		
No compromise, Other: pt with immune def/ recently well had GI virus 2 weeks ago/ now well / on ivig infuson therapy 10 gms every 3 weeks/	1	1.71740363605263E-07		
Patent, Other: occlusive dsg.over trach site changed	1	1.71740363605263E-07		
No compromise, Other: comgested upper airway, snoring	1	1.71740363605263E-07		
Other: Wheezing present.	1	1.71740363605263E-07		
No compromise, Other: parents report that Mattie is coughing a lot at night, but ok during the day.Dr. Wong notified	1	1.71740363605263E-07		
No compromise, Other: keepinf s/s p/ feeds r/t reflux	1	1.71740363605263E-07		
Other: OSA post op	1	1.71740363605263E-07		
Other: Tachypnea/mod. retractions.	1	1.71740363605263E-07		
Other: manually ventilated via tracheostomy	1	1.71740363605263E-07		
Stridorous, Other: slight stridor, baseline	1	1.71740363605263E-07		
No compromise, Other: mouth red with sores	1	1.71740363605263E-07		
No compromise, Other: lungs crackles bases bilateral	1	1.71740363605263E-07		
No compromise, Other: pectus excavut	1	1.71740363605263E-07		
No compromise, Other: home settings .on at patient requewst	1	1.71740363605263E-07		
Oropharyngeal airway, Other: removed...resp easy after removal	1	1.71740363605263E-07		
Other: inspiratory wheezing	1	1.71740363605263E-07		
Other: mouth breather, small mouth	1	1.71740363605263E-07		
No compromise, Other: reactive, coughing, required sxn'ng for thick, clear secretions	1	1.71740363605263E-07		
Other: audible uppper airway squeeking	1	1.71740363605263E-07		
No compromise, Other: Inspiratory stridor	1	1.71740363605263E-07		
Other: moving air well congested	1	1.71740363605263E-07		
Tracheostomy, Other: trach site only- pt decannulated yesterday per MD order	1	1.71740363605263E-07		
Other: patient not moving air, airway managed by anesthesia. see anesthesia report.	1	1.71740363605263E-07		
No compromise, Other: requires O2	1	1.71740363605263E-07		
Other: comfortable at rest  - talking /coughing leads to desats	1	1.71740363605263E-07		
Other: suddenly severe tachypnea	1	1.71740363605263E-07		
No compromise, Other: nasal congestion; coarse upper airway	1	1.71740363605263E-07		
No compromise, Other: pt able to tolerate liquid PO's but larg abcess present on L sided tonsil area. pt states difficult to swallow	1	1.71740363605263E-07		
Other: face bagging	1	1.71740363605263E-07		
Other: nasal congestion, clear secretions	1	1.71740363605263E-07		
Other: croupy cough resolving.  Cough sounds looser.	1	1.71740363605263E-07		
No compromise, Other: non productive cough noted s/s allergies per mom	1	1.71740363605263E-07		
Nasopharyngeal airway, Other: Pt recovering from sinus infection. On antibiotics since 5/14. Otherwise well	1	1.71740363605263E-07		
Stenotic, Other: Distsal	1	1.71740363605263E-07		
Other: oral packing; copious secretions	1	1.71740363605263E-07		
No compromise, Other: asthma takes singulair	1	1.71740363605263E-07		
Positional, Tracheal midline shift, Other: laryngomalacia	1	1.71740363605263E-07		
Patent, Positional, Stenotic, Stridorous	1	1.71740363605263E-07		
No compromise, Other: expressed breathing easier	1	1.71740363605263E-07		
Other: tracheal malasia, question of vocal cord issue	1	1.71740363605263E-07		
No compromise, Other: Hx subglottic stenosis	1	1.71740363605263E-07		
No compromise, Other: cough and post masal drip	1	1.71740363605263E-07		
No compromise, Tracheal midline shift, Other: spit fistula left side	1	1.71740363605263E-07		
No compromise, Other: athma no flares	1	1.71740363605263E-07		
No compromise, Other: 2 Liters NC	1	1.71740363605263E-07		
Other: snoring asleep	1	1.71740363605263E-07		
Other: grunting expiration	1	1.71740363605263E-07		
Stridorous, Other: extremely mild inspiratory	1	1.71740363605263E-07		
Other: on NC oxygen, BS clear, no resp distress	1	1.71740363605263E-07		
No compromise, Other: Trachea midline, no signs of respiratory compromise, no chest wall crepitus.	1	1.71740363605263E-07		
No compromise, Patent, Stridorous, Other: stridor improved after neb	1	1.71740363605263E-07		
Oropharyngeal airway, Positional, Other: require jaw support, then neck roll	1	1.71740363605263E-07		
Other: on oxygen via face mask	1	1.71740363605263E-07		
Other: snoring, repositioned	1	1.71740363605263E-07		
Other: decreased respiratory effort	1	1.71740363605263E-07		
Other: feels tight, broncospastic cough after CT contrast	1	1.71740363605263E-07		
No compromise, Other: tracheal fistula repair; faint expiratory wheeze when sleeping and on right side; no audible wheeze when awake, sitting up	1	1.71740363605263E-07		
Other: collar removed	1	1.71740363605263E-07		
Tracheostomy, Other: Cont ventilator	1	1.71740363605263E-07		
No compromise, Other: hx if stridor- comfortably breahting @ this time	1	1.71740363605263E-07		
Other: SHOULDER ROLL	1	1.71740363605263E-07		
Tracheostomy, Other: suctioned by mom	1	1.71740363605263E-07		
Oropharyngeal airway, Other: patient arrived talking with oral airway in place-promtly removed without incident	1	1.71740363605263E-07		
Other: nasopharangeal congestion audible, slightly worse than baseline, suctioned naso with clear mucus drainage noted, NP notified	1	1.71740363605263E-07		
Other: limited assessment due to body jacket	1	1.71740363605263E-07		
Other: nasopharyngeal airway removed.	1	1.71740363605263E-07		
Oropharyngeal airway, Other: re inmsertion	1	1.71740363605263E-07		
Patent, Positional, Stridorous, Tenuous	1	1.71740363605263E-07		
No compromise, Other: soft insp stridor with cry	1	1.71740363605263E-07		
No compromise, Other: hoarseness to cry,no wheezing	1	1.71740363605263E-07		
Other: moving side to side and mother has straw to help conrol salivation	1	1.71740363605263E-07		
No compromise, Other: history of asthma on xolair	1	1.71740363605263E-07		
Other: mild stridor, grade 2 airway- hx difficult intubation	1	1.71740363605263E-07		
No compromise, Other: OPA removed without difficulty, pt remains on O2 via SFM at 6l with spO2 95%.	1	1.71740363605263E-07		
Other: copious secretions, coughing, upper airway congestion	1	1.71740363605263E-07		
Stridorous, Other: when asleep decr. with chg in head position	1	1.71740363605263E-07		
Other: Noisy breather, mod amt ofupper airway congestion, heard in both lungs	1	1.71740363605263E-07		
Edematous, Positional, Other: snoring	1	1.71740363605263E-07		
No compromise, Other: pot with hx asthma has been well  / controlled on meds	1	1.71740363605263E-07		
No compromise, Other: Pt has runny nose	1	1.71740363605263E-07		
Positional, Other: larngomalasia	1	1.71740363605263E-07		
No compromise, Other: pt with airway disease/ uses multiple/ inhalers / breath sounds coarse/ occassional non productive cough	1	1.71740363605263E-07		
Endotracheal tube, Other: pooled oral secretions;transmitted sounds to all lung fields	1	1.71740363605263E-07		
Other: tachypnea, rales to Lt Base	1	1.71740363605263E-07		
No compromise, Other: mild cough, rhinorrhea	1	1.71740363605263E-07		
No compromise, Other: pot with hx asthma / has been well / no wheezing/	1	1.71740363605263E-07		
Other: poor effort with pauses and hiccups	1	1.71740363605263E-07		
No compromise, Other: RR elevated on arrival, but improved as afternoon went on	1	1.71740363605263E-07		
Other: coarse cry / voice	1	1.71740363605263E-07		
Stridorous, Other: very mild stridor at rest	1	1.71740363605263E-07		
Critical, Edematous, Endotracheal tube, Positional, Stridorous, Unprotected	1	1.71740363605263E-07		
Other: has larynomalacia	1	1.71740363605263E-07		
Stridorous, Other: Strong cry	1	1.71740363605263E-07		
Other: laryngomalacia/ stridor worse when flat	1	1.71740363605263E-07		
Other: Pt with occasional desaturations, requiring up to 3L NC, has been stable on RA most of day today.	1	1.71740363605263E-07		
No compromise, Other: sats 90-92%	1	1.71740363605263E-07		
Endotracheal tube, Other: swelling, large neck	1	1.71740363605263E-07		
Other: surgicel packing in both nostrils	1	1.71740363605263E-07		
Other: High risk suction	1	1.71740363605263E-07		
Other: intermittently obstructed, relieved with repositioning	1	1.71740363605263E-07		
No compromise, Other: hx of asthma, never hospitalized, PRN use of inhalers	1	1.71740363605263E-07		
Other: unable to assess, VV ecmo, CPAP mode on vent	1	1.71740363605263E-07		
No compromise, Other: spit out oral airway	1	1.71740363605263E-07		
Positional, Stridorous, Other: CRNA reports prior vocal chord dysfunction	1	1.71740363605263E-07		
No compromise, Other: blow-by in place	1	1.71740363605263E-07		
No compromise, Other: intermittent stridor with cry	1	1.71740363605263E-07		
No compromise, Other: getting trach beginning of feb	1	1.71740363605263E-07		
Other: coarse respiration	1	1.71740363605263E-07		
Other: right side chest tube 20cm lo wall sx, for pleural effusion	1	1.71740363605263E-07		
Stridorous, Other: stridor apparent on auscultation but it is fairly quiet at rest, pt had no periods of crying so could not evaluate stridor when upset	1	1.71740363605263E-07		
Patent, Other: enlarged tonsil; ORL following	1	1.71740363605263E-07		
Patent, Other: enlarged tonsil	1	1.71740363605263E-07		
Stridorous, Other: stridor with activity	1	1.71740363605263E-07		
Other: sm jaw noted	1	1.71740363605263E-07		
Stridorous, Other: intermittent stridor, worse with activity. No consistent stridor at rest.	1	1.71740363605263E-07		
No compromise, Other: dry cough and nasal congestion	1	1.71740363605263E-07		
Positional, Stridorous, Other: stridor stops with repositioning	1	1.71740363605263E-07		
Other: upper airway congestion, clears with coughing, encouraged to do this prior to  treatment under anesthesia	1	1.71740363605263E-07		
Other: encourage to cough and expectorate pre case, helpful	1	1.71740363605263E-07		
Other: intermittent dry cough-brother at home with croup	1	1.71740363605263E-07		
Other: high pitched noisy breathing	1	1.71740363605263E-07		
Endotracheal tube, Positional, Other: tracheal rings	1	1.71740363605263E-07		
No compromise, Other: opens widely	1	1.71740363605263E-07		
Other: trachomalasia	1	1.71740363605263E-07		
No compromise, Other: cough noted, non-productive	1	1.71740363605263E-07		
Other: stridor with sleeping	1	1.71740363605263E-07		
Other: swollen lips tongue	1	1.71740363605263E-07		
Other: slight upper airway congestion, otherwise unremarkable	1	1.71740363605263E-07		
Tenuous, Other: copious oral secretions	1	1.71740363605263E-07		
Oropharyngeal airway, Other: removed upon admit to PACU - with motion and coughing	1	1.71740363605263E-07		
Other: Upper respiratory old symptoms, runny nose	1	1.71740363605263E-07		
No compromise, Other: blow-by O2 via face tent	1	1.71740363605263E-07		
Other: scant clear discharge; mild coarseness upper lobes	1	1.71740363605263E-07		
No compromise, Other:  has h.o. asthma and use nebulizers as needed.  last time was  last year.	1	1.71740363605263E-07		
No compromise, Other: iv decadron for no air leak at time of extubation	1	1.71740363605263E-07		
Other: Right sided neck mass	1	1.71740363605263E-07		
Positional, Other: obstructs easily with postion change	1	1.71740363605263E-07		
Other: crying/screaming unable to listen to lungs with stethoscope	1	1.71740363605263E-07		
Other: central apnea noted on previous sleep study done on 4/26/13	1	1.71740363605263E-07		
No compromise, Stridorous, Other: intermittent inspiratory stridor when crying or sleeping	1	1.71740363605263E-07		
Other: stable on cpap mask ventilation	1	1.71740363605263E-07		
No compromise, Other: has hx of severe RAD with multiple ICU admissions- Per mom he has been weel- controlled on current med regimen	1	1.71740363605263E-07		
Other: inc WOB with exertion	1	1.71740363605263E-07		
No compromise, Other: reports sinus congestion	1	1.71740363605263E-07		
Other: itchy throat	1	1.71740363605263E-07		
Critical, Other: grade 3/4	1	1.71740363605263E-07		
Oropharyngeal airway, Other: no apnea	1	1.71740363605263E-07		
No compromise, Other: Patient has nasal secretions, per dad due to crying. Dad denies patient having nasal secretions now or while sleeping, she sometimes has nasal secretions but aftersome foods she will have increased secretions.	1	1.71740363605263E-07		
Vocal cord paralysis, Other: strudorous with sleep	1	1.71740363605263E-07		
No compromise, Positional, Stridorous, Other:	1	1.71740363605263E-07		
Other: tachypneic/ CPAP	1	1.71740363605263E-07		
Other: hx ARDS/ with exertional dyspnea and decreased sats with walking/	1	1.71740363605263E-07		
Other: course, dad gave cromylin and chest PT, still course, but better than befre neb. Dr Basik was notified and will assess	1	1.71740363605263E-07		
No compromise, Other: pt with asthma/ on long term solumedrol infusions/ dose down to 25 mg IV weekly/ / denies any recent resp issues/	1	1.71740363605263E-07		
No compromise, Other: harsh breath sounds periodically when laying supine, relieved by sitting up.	1	1.71740363605263E-07		
No compromise, Other: positional stridor while sleeping	1	1.71740363605263E-07		
Unprotected, Other: Obstructing airway and desats on RA.	1	1.71740363605263E-07		
Positional, Other: constant jaw thrust required	1	1.71740363605263E-07		
Positional, Stridorous, Other: mild	1	1.71740363605263E-07		
No compromise, Other: bubble CPAP	1	1.71740363605263E-07		
No compromise, Nasopharyngeal airway, Other: removed upon arrival	1	1.71740363605263E-07		
No compromise, Stridorous, Other: mild insp. stridor.	1	1.71740363605263E-07		
No compromise, Other: tonsils are 4 + r>l	1	1.71740363605263E-07		
Positional, Tenuous, Other: obstructing	1	1.71740363605263E-07		
Other: airway obstruction noted when relax. Pools secretions in back of throat. Good cough with production of sticky clear to white secretions	1	1.71740363605263E-07		
Other: nasal trumpet removed	1	1.71740363605263E-07		
Oropharyngeal airway, Positional, Stridorous, Tenuous, Other: coughing and obstruction around airway, removed sx and mask cpap	1	1.71740363605263E-07		
No compromise, Positional, Other: +OSA	1	1.71740363605263E-07		
Positional, Other: +OSA, snorous respirations respositioned when sleeping	1	1.71740363605263E-07		
Other: breath sounds a little coarse	1	1.71740363605263E-07		
Other: very loud breathing,	1	1.71740363605263E-07		
Positional, Stridorous, Other: breathholding	1	1.71740363605263E-07		
No compromise, Other: sma bipap at night	1	1.71740363605263E-07		
No compromise, Other: Productive cough	1	1.71740363605263E-07		
Oropharyngeal airway, Other: mask cpap	1	1.71740363605263E-07		
No compromise, Other: RR high teens-20s, post extubation BBO@ via face tent	1	1.71740363605263E-07		
Positional, Other: obstructive at times with crying/positioning off BiPAP mask	1	1.71740363605263E-07		
Nasopharyngeal airway, Oropharyngeal airway, Stridorous, Tenuous	1	1.71740363605263E-07		
Positional, Other: slightly stridorous	1	1.71740363605263E-07		
No compromise, Other: sob with strenous exercise	1	1.71740363605263E-07		
Other: hx freqeunt congested cough/ ? related to J tube feeds/ also with hypogam/ now on IVIG infusio therapy 5 gms every three weeks/ doing well	1	1.71740363605263E-07		
Other: circumoral cyanosis	1	1.71740363605263E-07		
